file,question,score
n01-sor-et31-p08-c06.txt,Q9,6.22727272727273
n01-sor-et31-p08-c07.txt,Q1,6.41025641025641
n01-sor-et31-p08-c07.txt,Q2,7.97435897435897
n01-sor-et31-p08-c07.txt,Q3,7.07692307692308
n01-sor-et31-p08-c07.txt,Q4,7.92307692307692
n01-sor-et31-p08-c07.txt,Q5,5.71052631578947
n01-sor-et31-p08-c07.txt,Q6,5.38461538461539
n01-sor-et31-p08-c07.txt,Q7,7.41025641025641
n01-sor-et31-p08-c07.txt,Q8,5.97435897435897
n01-sor-et31-p08-c07.txt,Q9,6.05263157894737
n01-sor-et31-p08-c08.txt,Q1,7.21739130434783
n01-sor-et31-p08-c08.txt,Q2,7.8695652173913
n01-sor-et31-p08-c08.txt,Q3,7.65217391304348
n01-sor-et31-p08-c08.txt,Q4,8.04444444444444
n01-sor-et31-p08-c08.txt,Q5,6.8
n01-sor-et31-p08-c08.txt,Q6,6.58695652173913
n01-sor-et31-p08-c08.txt,Q7,8.19565217391304
n01-sor-et31-p08-c08.txt,Q8,7.23913043478261
n01-sor-et31-p08-c08.txt,Q9,6.54347826086957
n01-sor-et31-p09-c07.txt,Q1,5.58823529411765
n01-sor-et31-p09-c07.txt,Q2,8.45714285714286
n01-sor-et31-p09-c07.txt,Q3,7.05714285714286
n01-sor-et31-p09-c07.txt,Q4,8
n01-sor-et31-p09-c07.txt,Q5,5.16666666666667
n01-sor-et31-p09-c07.txt,Q6,4.5625
n01-sor-et31-p09-c07.txt,Q7,7.77142857142857
n01-sor-et31-p09-c07.txt,Q8,5.88235294117647
n01-sor-et31-p09-c07.txt,Q9,5.06896551724138
n01-sor-et31-p09-c08.txt,Q1,7.44897959183674
n01-sor-et31-p09-c08.txt,Q2,6.22448979591837
n01-sor-et31-p09-c08.txt,Q3,6.57142857142857
n01-sor-et31-p09-c08.txt,Q4,8.04081632653061
n01-sor-et31-p09-c08.txt,Q5,7.46938775510204
n01-sor-et31-p09-c08.txt,Q6,7.16326530612245
n01-sor-et31-p09-c08.txt,Q7,8
n01-sor-et31-p09-c08.txt,Q8,7.59183673469388
n01-sor-et31-p09-c08.txt,Q9,7.12244897959184
n01-sor-et31-p09-c09.txt,Q1,7.52
n01-sor-et31-p09-c09.txt,Q2,8.14
n01-sor-et31-p09-c09.txt,Q3,8
n01-sor-et31-p09-c09.txt,Q4,8.44
n01-sor-et31-p09-c09.txt,Q5,6.78
n01-sor-et31-p09-c09.txt,Q6,6.3
n01-sor-et31-p09-c09.txt,Q7,8.08
n01-sor-et31-p09-c09.txt,Q8,7.5
n01-sor-et31-p09-c09.txt,Q9,6.74
n01-sor-et31-p10-c08.txt,Q1,7.70454545454545
n01-sor-et31-p10-c08.txt,Q2,6.72727272727273
n01-sor-et31-p10-c08.txt,Q3,6.79545454545455
n01-sor-et31-p10-c08.txt,Q4,7.77272727272727
n01-sor-et31-p10-c08.txt,Q5,7.68181818181818
n01-sor-et31-p10-c08.txt,Q6,7.54545454545455
n01-sor-et31-p10-c08.txt,Q7,7.90909090909091
n01-sor-et31-p10-c08.txt,Q8,7.81818181818182
n01-sor-et31-p10-c08.txt,Q9,7.93181818181818
n01-sor-et31-p10-c09.txt,Q1,7.68292682926829
n01-sor-et31-p10-c09.txt,Q2,7.78048780487805
n01-sor-et31-p10-c09.txt,Q3,7.70731707317073
n01-sor-et31-p10-c09.txt,Q4,8.24390243902439
n01-sor-et31-p10-c09.txt,Q5,7.5609756097561
n01-sor-et31-p10-c09.txt,Q6,7.19512195121951
n01-sor-et31-p10-c09.txt,Q7,7.95121951219512
n01-sor-et31-p10-c09.txt,Q8,7.5609756097561
n01-sor-et31-p10-c09.txt,Q9,7.48780487804878
n01-sor-et31-p10-c10.txt,Q1,6.82926829268293
n01-sor-et31-p10-c10.txt,Q2,8.26829268292683
n01-sor-et31-p10-c10.txt,Q3,7.87804878048781
n01-sor-et31-p10-c10.txt,Q4,7.87804878048781
n01-sor-et31-p10-c10.txt,Q5,6.4390243902439
n01-sor-et31-p10-c10.txt,Q6,5.90243902439024
n01-sor-et31-p10-c10.txt,Q7,7.63414634146341
n01-sor-et31-p10-c10.txt,Q8,6.92682926829268
n01-sor-et31-p10-c10.txt,Q9,6.09756097560976
n01-sor-et31-p11-c09.txt,Q1,6.28888888888889
n01-sor-et31-p11-c09.txt,Q2,6.91111111111111
n01-sor-et31-p11-c09.txt,Q3,6.97777777777778
n01-sor-et31-p11-c09.txt,Q4,6.31818181818182
n01-sor-et31-p11-c09.txt,Q5,6.02222222222222
n01-sor-et31-p11-c09.txt,Q6,5.86666666666667
n01-sor-et31-p11-c09.txt,Q7,7.13333333333333
n01-sor-et31-p11-c09.txt,Q8,6.04444444444444
n01-sor-et31-p11-c09.txt,Q9,5.57777777777778
n01-sor-et31-p11-c10.txt,Q1,7.33333333333333
n01-sor-et31-p11-c10.txt,Q2,7.1219512195122
n01-sor-et31-p11-c10.txt,Q3,7.04761904761905
n01-sor-et31-p11-c10.txt,Q4,7.52380952380952
n01-sor-et31-p11-c10.txt,Q5,6.66666666666667
n01-sor-et31-p11-c10.txt,Q6,6.76190476190476
n01-sor-et31-p11-c10.txt,Q7,7.69047619047619
n01-sor-et31-p11-c10.txt,Q8,7
n01-sor-et31-p11-c10.txt,Q9,6.31707317073171
n01-sor-et31-p11-c11.txt,Q1,8.05128205128205
n01-sor-et31-p11-c11.txt,Q2,6.84615384615385
n01-sor-et31-p11-c11.txt,Q3,7.38461538461539
n01-sor-et31-p11-c11.txt,Q4,8.51282051282051
n01-sor-et31-p11-c11.txt,Q5,7.71794871794872
n01-sor-et31-p11-c11.txt,Q6,7.84615384615385
n01-sor-et31-p11-c11.txt,Q7,8.46153846153846
n01-sor-et31-p11-c11.txt,Q8,7.94871794871795
n01-sor-et31-p11-c11.txt,Q9,7.5
n01-sor-et31-p12-c10.txt,Q1,6.78048780487805
n01-sor-et31-p12-c10.txt,Q2,8.19512195121951
n01-sor-et31-p12-c10.txt,Q3,7.42857142857143
n01-sor-et31-p12-c10.txt,Q4,8.04761904761905
n01-sor-et31-p12-c10.txt,Q5,5.75609756097561
n01-sor-et31-p12-c10.txt,Q6,5.12820512820513
n01-sor-et31-p12-c10.txt,Q7,7.80952380952381
n01-sor-et31-p12-c10.txt,Q8,6.73170731707317
n01-sor-et31-p12-c10.txt,Q9,6.725
n01-sor-et31-p12-c11.txt,Q1,7.69047619047619
n01-sor-et31-p12-c11.txt,Q2,6.1219512195122
n01-sor-et31-p12-c11.txt,Q3,6.5952380952381
n01-sor-et31-p12-c11.txt,Q4,7.76190476190476
n01-sor-et31-p12-c11.txt,Q5,6.95121951219512
n01-sor-et31-p12-c11.txt,Q6,6.97619047619048
n01-sor-et31-p12-c11.txt,Q7,7.78571428571429
n01-sor-et31-p12-c11.txt,Q8,7.14285714285714
n01-sor-et31-p12-c11.txt,Q9,6.69047619047619
n01-sor-et31-p12-c12.txt,Q1,5.96875
n01-sor-et31-p12-c12.txt,Q2,8.58823529411765
n01-sor-et31-p12-c12.txt,Q3,7.12121212121212
n01-sor-et31-p12-c12.txt,Q4,7.6
n01-sor-et31-p12-c12.txt,Q5,5.41935483870968
n01-sor-et31-p12-c12.txt,Q6,4.34375
n01-sor-et31-p12-c12.txt,Q7,7.37142857142857
n01-sor-et31-p12-c12.txt,Q8,5.87878787878788
n01-sor-et31-p12-c12.txt,Q9,5.3030303030303
n02-sor-et35-p01-c11.txt,Q1,7.05660377358491
n02-sor-et35-p01-c11.txt,Q2,6.64705882352941
n02-sor-et35-p01-c11.txt,Q3,6.54716981132076
n02-sor-et35-p01-c11.txt,Q4,7.75471698113208
n02-sor-et35-p01-c11.txt,Q5,6.86792452830189
n02-sor-et35-p01-c11.txt,Q6,6.58490566037736
n02-sor-et35-p01-c11.txt,Q7,7.73584905660377
n02-sor-et35-p01-c11.txt,Q8,7.05660377358491
n02-sor-et35-p01-c11.txt,Q9,6.37735849056604
n02-sor-et35-p01-c12.txt,Q1,5.47368421052632
n02-sor-et35-p01-c12.txt,Q2,7.89473684210526
n02-sor-et35-p01-c12.txt,Q3,6.71052631578947
n02-sor-et35-p01-c12.txt,Q4,7.5
n02-sor-et35-p01-c12.txt,Q5,4.64864864864865
n02-sor-et35-p01-c12.txt,Q6,4.19444444444444
n02-sor-et35-p01-c12.txt,Q7,7.10526315789474
n02-sor-et35-p01-c12.txt,Q8,5.71052631578947
n02-sor-et35-p01-c12.txt,Q9,4.84848484848485
n02-sor-et35-p01-c13.txt,Q1,7.2156862745098
n02-sor-et35-p01-c13.txt,Q2,7.14
n02-sor-et35-p01-c13.txt,Q3,7.07843137254902
n02-sor-et35-p01-c13.txt,Q4,7.72549019607843
n02-sor-et35-p01-c13.txt,Q5,6.80392156862745
n02-sor-et35-p01-c13.txt,Q6,6.35294117647059
n02-sor-et35-p01-c13.txt,Q7,7.90196078431373
n02-sor-et35-p01-c13.txt,Q8,6.90196078431373
n02-sor-et35-p01-c13.txt,Q9,6.06122448979592
n02-sor-et35-p02-c01.txt,Q1,6.78723404255319
n02-sor-et35-p02-c01.txt,Q2,7.21276595744681
n02-sor-et35-p02-c01.txt,Q3,6.95744680851064
n02-sor-et35-p02-c01.txt,Q4,7.59574468085106
n02-sor-et35-p02-c01.txt,Q5,6.23404255319149
n02-sor-et35-p02-c01.txt,Q6,5.65957446808511
n02-sor-et35-p02-c01.txt,Q7,7.5531914893617
